,"ENG"
"4742360.0001.001.umich.edu","ENG"
"4742377.0001.001.umich.edu","ENG"
"4743062.0001.001.umich.edu","ENG"
"4743112.0001.001.umich.edu","ENG"
"4764126","GER"
"4764227","LAT"
"4777348","GER"
"491D1844-5CAC-4164-B7EB-55D93DC76AD9","ENG"
"496FCB57-A2FC-4C3B-B3C8-0C410F3DA79F","ENG"
"4a5dienatrlich04engluoft","GER"
"4A9393BF-57F9-40F5-BCDA-ECF97AE596B1","ENG"
"4B36908C-6B7C-4426-8CFC-F2A1748BE41A","ENG"
"4C4B91CA-B744-435A-B415-06092DE6CCF2","ENG"
"4E23BA9D-3003-4623-AEEC-A349C51433DA","ENG"
"501C980F-1708-4A9A-BFB4-A36F4D5654A5","ENG"
"5060538.1923-1930","ENG"
"5060538.1931-1934","ENG"
"5060538.1935-1939","ENG"
"5060538.1944-1949","ENG"
"5060539_1892","ENG"
"5060539_1894","ENG"
"5060539_1904","ENG"
"5060539_1905","ENG"
"5060539_1906","ENG"
"5060539_1907","ENG"
"5060539_1908","ENG"
"5060539_1909","ENG"
"5060539_1910","ENG"
"5060539_1911","ENG"
"5060539-1912","ENG"
"5060539-1913","ENG"
"5060539-1914","ENG"
"5060539-1915","ENG"
"5060539-1916","ENG"
"5060539-1917","ENG"
"5060539-1918","ENG"
"5060539-1919","ENG"
"5060539-1920","ENG"
"5060539-1921","ENG"
"5060539-1922","ENG"
"5060539-1923","ENG"
"5060539-1924","ENG"
"5060539-1925","ENG"
"5060539-1926","ENG"
"5060539-1927","ENG"
"5060539-1928","ENG"
"5060539-1929","ENG"
"5060539-1930","ENG"
"5060539-1930-31","ENG"
"5060539-1932","ENG"
"5060539-1933-34","ENG"
"50fishfromameric00allerich","ENG"
"513A646D-D26B-44D7-9AA9-D96EAE96C3E3","ENG"
"5196ED1C-0EC4-4BF2-97A9-5F85CBA687AF","ENG"
"5205536_1","ENG"
"5205536_12","ENG"
"5205536_13","ENG"
"5205536_14","ENG"
"5205536_15_1","ENG"
"5205536_15_2","ENG"
"5205536_16_1","ENG"
"5205536_16_2","ENG"
"5205536_17_1","ENG"
"5205536_17_2","ENG"
"5205536_18_1","ENG"
"5205536_18_2","ENG"
"5205536_19_1","ENG"
"5205536_19_2","ENG"
"5205536_2","ENG"
"5205536_20_1","ENG"
"5205536_20_2","ENG"
"5205536_21_1","ENG"
"5205536_21_2","ENG"
"5205536_22_1","ENG"
"5205536_22_2","ENG"
"5205536_23_1","ENG"
"5205536_23_2","ENG"
"5205536_24_1","ENG"
"5205536_24_2","ENG"
"5205536_25_1","ENG"
"5205536_25_2","ENG"
"5205536_26_1","ENG"
"5205536_26_2","ENG"
"5205536_27_1","ENG"
"5205536_27_2","ENG"
"5205536_28_1","ENG"
"5205536_28_2","ENG"
"5205536_29_1","ENG"
"5205536_29_2","ENG"
"5205536_3","ENG"
"5205536_30_1","ENG"
"5205536_30_2","ENG"
"5205536_30_3","ENG"
"5205536_31_1","ENG"
"5205536_31_2","ENG"
"5205536_31_3","ENG"
"5205536_32_1","ENG"
"5205536_32_2","ENG"
"5205536_32_3","ENG"
"5205536_33_2","ENG"
"5205536_34_1","ENG"
"5205536_34_2","ENG"
"5205536_35_1","ENG"
"5205536_35_2","ENG"
"5205536_36_1","ENG"
"5205536_36_2","ENG"
"5205536_37_1","ENG"
"5205536_37_2","ENG"
"5205536_38_1","ENG"
"5205536_38_2","ENG"
"5205536_39_1","ENG"
"5205536_39_2","ENG"
"5205536_39_3","ENG"
"5205536_4","ENG"
"5205536_40_1","ENG"
"5205536_40_2","ENG"
"5205536_40_3","ENG"
"5205536_43_1","ENG"
"5205536_43_2","ENG"
"5205536_44_1","ENG"
"5205536_44_2","ENG"
"5205536_44_3","ENG"
"5205536_44_4","ENG"
"5205536_45_1","ENG"
"5205536_45_2","ENG"
"5205536_45_3","ENG"
"5205536_45_4","ENG"
"5205536_46_1","ENG"
"5205536_46_2","ENG"
"5205536_46_3","ENG"
"5205536_46_4","ENG"
"5205536_47_1","ENG"
"5205536_47_2","ENG"
"5205536_47_3","ENG"
"5205536_47_4","ENG"
"5205536_47_5","ENG"
"5205536_48_1","ENG"
"5205536_48_2","ENG"
"5205536_48_3","ENG"
"5205536_48_4","ENG"
"5205536_49_1","ENG"
"5205536_49_2","ENG"
"5205536_49_3","ENG"
"5205536_49_4","ENG"
"5205536_49_5","ENG"
"5205536_49_6","ENG"
"5205536_49_7","ENG"
"5205536_49_8","ENG"
"5205536_5","ENG"
"5205536_50_1","ENG"
"5205536_50_2","ENG"
"5205536_51_1","ENG"
"5205536_51_2","ENG"
"5205536_6","ENG"
"5234459_2","ENG"
"5234459_3","ENG"
"5234459_4","ENG"
